,odds
1261,-143
1262,160
1263,-200
1264,435
1265,-426
1266,-235
1267,185
1268,-108
1269,-115
1270,120
1271,-150
1272,265
1273,-345
1274,185
1275,-235
1276,-167
1277,133
1278,143
1279,-180
1280,-375
1281,280
1282,215
1283,-278
1284,160
1285,-200
1286,-230
1287,180
1288,-269
1289,119
1290,232
1291,458
1292,-250
1293,200
1294,113
1295,356
1296,-414
1297,-285
1298,-301
1299,294
1300,398
1301,172
1302,-415
1303,-237
1304,233
1305,300
1306,440
1307,-323
1308,128
1309,-159
1310,-165
1311,132
1312,-1000
1313,650
1314,-250
1315,200
1316,-132
1317,107
1318,-408
1319,-493
1320,-316
1321,-166
1322,-400
1323,300
1324,-104
1325,-121
1326,132
1327,-165
1328,138
1329,-175
1330,270
1331,-360
1332,170
1333,-215
1334,148
1335,-182
1336,236
1337,130
1338,160
1339,-200
1340,420
1341,-227
1342,-157
1343,128
1344,106
1345,-132
1346,230
1347,180
1348,360
1349,-480
1350,-275
1351,210
1352,-177
1353,100
1354,-460
1355,151
1356,-117
1357,-107
1358,-215
1359,170
1360,-420
1361,310
1362,-250
1363,195
1364,480
1365,-670
1366,-770
1367,525
1368,-500
1369,360
1370,-106
1371,-117
1372,-493
1373,-253
1374,-385
1375,265
1376,-419
1377,-450
1378,205
1379,-265
1380,-278
1381,215
1382,167
1383,461
1384,-148
1385,120
1386,-175
1387,138
1388,205
1389,-265
1390,-302
1391,310
1392,-143
1393,115
1394,480
1395,-670
1396,135
1397,-167
1398,-250
1399,-237
1400,118
1401,-148
1402,-186
1403,150
1404,261
1405,-176
1406,-210
1407,165
1408,123
1409,-152
1410,-202
1411,-369
1412,-400
1413,-112
1414,260
1415,-345
1416,319
1417,169
1418,-157
1419,125
1420,292
1421,-462
1422,240
1423,405
1424,143
1425,-177
1426,-432
1427,-106
1428,-387
1429,-103
1430,-400
1431,300
1432,282
1433,-260
1434,-145
1435,-498
1436,-560
1437,410
1438,250
1439,-335
1440,-186
1441,150
1442,-155
1443,123
1444,-205
1445,165
1446,-112
1447,-112
1448,125
1449,-157
1450,-177
1451,140
1452,-315
1453,240
1454,378
1455,460
1456,-221
1457,226
1458,-286
1459,225
1460,195
1461,-250
1462,-590
1463,430
1464,148
1465,-186
1466,-435
1467,320
1468,-245
1469,185
1470,460
1471,-625
1472,280
1473,-375
1474,250
1475,-335
1476,239
1477,-343
1478,-361
1479,-348
1480,-255
1481,174
1482,112
1483,-137
1484,190
1485,-245
1486,-200
1487,-106
1488,-196
1489,162
1490,-129
1491,164
1492,160
1493,-200
1494,450
1495,-625
1496,-530
1497,380
1498,-265
1499,205
1500,185
1501,-235
1502,107
1503,-132
1504,485
1505,399
1506,-150
1507,120
1508,-103
1509,-196
1510,400
1511,-163
1512,488
1513,-211
1514,-105
1515,-118
1516,-373
1517,-295
1518,175
1519,-225
1520,314
1521,-250
1522,-127
1523,104
1524,-152
1525,123
1526,105
1527,-130
1528,150
1529,-190
1530,-560
1531,400
1532,-244
1533,262
1534,420
1535,-590
1536,163
1537,-205
1538,105
1539,-130
1540,-104
1541,-120
1542,-240
1543,185
1544,-770
1545,525
1546,163
1547,-205
1548,-335
1549,255
1550,330
1551,-435
1552,143
1553,-180
1554,-195
1555,155
1556,-435
1557,325
1558,-317
1559,312
1560,-235
1561,185
1562,114
1563,-139
1564,265
1565,-345
1566,255
1567,-335
1568,100
1569,-124
1570,-129
1571,104
1572,-363
1573,-265
1574,-305
1575,235
1576,133
1577,-167
1578,450
1579,-625
1580,120
1581,-150
1582,470
1583,-247
1584,-670
1585,460
1586,-292
1587,285
1588,143
1589,-177
1590,262
1591,-192
1592,-195
1593,155
1594,-213
1595,-216
1596,295
1597,-385
1598,-130
1599,106
1600,-180
1601,143
1602,138
1603,-175
1604,-265
1605,-488
1606,155
1607,-195
1608,150
1609,-190
1610,210
1611,-275
1612,180
1613,-225
1614,-315
